comment,PE,EE,SI,FC
"aku punya ide",0,0,0,0
"ini kira-kira wajah ceweknya ada di dunia nyata tidak ya?",0,0,0,0
"temen-temen kantor udah pada pake,masa saya nggak.",0,0,0,0
"hasil generate-nya oke punya,bikin kerjaan sat set. cara pakainya gampang banget,gak perlu tutorial.",0,0,5,0
"bisa lebih dari 8 detik nggak?",0,0,0,0
"tadi udah ketemu apinya kak tapi pas di generate kok ini error ya kak",0,0,0,0
"vpn boy​ ",0,0,0,0
"suara nya gmnaa bang",0,0,0,0
"bang kok ngga ada suaranya gimana",0,0,0,0
"next jalan2 di zaman rasulullah... ",0,0,0,0
"ternyata dunia manusia bener2 mau dikuasai robot",0,0,0,0
"orang yang jadi model di videonya itu beneran ada ? hidup di bumi? tinggal di satu daerah? kalo iya ngeri juga",0,0,0,0
"",0,0,0,0
"gmn caranya bikin begituan",0,0,0,0
"tbtb banget ketawa",0,0,0,0
"solusi : unduh gambar generate video di generator lain misal kling,pixverse dll.",0,0,0,0
"ini asli,kelemahan ai ngomong tidak bisa berhenti",0,0,0,0
"kadang lucu kadang takut ya bagi gue",0,0,0,0
"final reckoning",0,0,0,0
"{error:{code:404,message:models/vo-3.0-generate-preview is not found for api version v1beta,or is not supported for predictlongrunning. call listmodels to see the list of available models and their supported methods.,status:not_found}}",0,0,0,0
"mata hasil dri ai rata2 kek orang baru hbis make ",0,0,0,0
"keren",0,0,5,0
"jaman majapahit tahun 1200-1500 : hindu siwa dan budha mahayana.",0,0,0,0
"​ .1 thankyou ya bg",0,0,0,0
"hasil generate-nya oke punya,bikin kerjaan sat set. koneksi internet harus stabil biar tidak gagal terus.",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja. instalasi vpn-nya bikin pusing tujuh keliling. anjir",0,0,5,0
"disitu ada hotelnya gak? mau berkunjung sampe 3 haru",0,0,0,0
"kok saya suaranya tidak ada ya ?",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang. laptop spek rendah tetep bisa akses lewat cloud,mantap.",0,0,5,2
"sudah bisa kak sekarang,lewat gemini maupun lewat google flow",0,0,0,0
"bang saya sudah ikutin tapi opsi video nya tidak muncul itu kenapa yah ?",0,0,0,0
"bnag,aduionya koq tidak bisa keluar ya? cuman teks aja",0,0,0,0
"kok punyaku ndak ada suaranya yaa ?",0,0,0,0
"bang itu aplikasi veo 3 prompt generator aplikasi android kah ?",0,0,0,0
"aku coba buat tapi harus bayar ",0,0,0,0
"tadi sore nonton video ini... barusan coba... ternyata udah tidak bs bang... pas tahap terakhir setelah daftar segala dan masukkin env lalu jalanin di port 5173... pas pencet generate katanya api salah... pas balik cek ke lab nya udah tertulis di tutup akun labnya itu karena pelanggaran...fiiiuh... untung aja tidak pake aslinya... kynya udah kedetek sm si google jadi udah diblokir api nya",0,0,0,0
"itu bisa minta ke dia lagi,agar promptnya dirangkai jadi kalimat",0,0,0,0
"ngeri banget anj",0,0,0,0
"user friendly parah,pemula pasti langsung paham. dosen saya nyaranin pake ini buat riset. anjir",0,4,0,0
"kuota boros banget buat generate video 10 detik doang.",0,0,0,0
"yuk kak,kita belajar sama-sama! kalau ada yang belum dipahami,boleh banget kasih tahu. siapa tahu nanti saya bisa bantu dengan bikin video penjelasan.",0,0,0,0
"kenapa punya saya kok tidak suaranya ya bg?",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. koneksi internet harus stabil biar tidak gagal terus. no debat",0,0,0,0
"api key nya udah ditutup bang",0,0,0,0
"kok bisa konsisten tokohnya",0,0,0,0
"kalau di 1 lokasi dengan wifi yang sama,bisa pake cara ini:",0,0,0,0
"bang kok punyaku tidak ada suaranya",0,0,0,0
"tapi jumlah generate nya terbatas mas . sekarang saya sudah tidak bisa lagi buat video pakai veo 3. ada tidak solusinya agar bisa buat videoonya tanpa batas mas ?",0,0,0,0
"yang makin parah tv2 nasional skrg iklan pake ai,lama2 tidak modal buat bayar talent",0,0,0,0
"ko tidak aada video ya bang",0,0,0,0
"tools ini ngebantu banget buat nyelesain tugas kuliah. parah sih",0,0,2,0
"tebak masalah yang akan datang",0,0,0,0
"trims infonya",0,0,0,0
"gua ampe merhatiin muka dia gara gara komenanlu bang",0,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk. cara pakainya gampang banget,gak perlu tutorial.",0,0,0,0
"bang ko punya g ada suaranya y bang",0,0,0,0
"​ nah ini bener,dan harga nya juga akan semakin mahal..",0,0,0,0
"temen-temen kantor udah pada pake,masa saya nggak. ribet bener interfacenya,bingung mau klik mana. asli",0,0,0,0
"kak saya dah coba cuma pas di jalankan error kayaknya salah di api key nya tapi itu akun studentnya langsung disabble bisa bantu tidak salahnya dimana ?",0,0,0,0
"mereka dapet wajah & postur juga dari yang kira upload untuk minta editin itu",0,0,0,0
"ternyata jaman dulu itu suasananya tidak kuning ya",0,0,0,0
"banyak influencer yang bahas,jadi penasaran. wkwk",0,0,0,0
"bayangin klau di salahgunakan buat fitnah atau ap gt.",0,0,0,0
"ini pentingnya bijaksana menggunakan ai. ngeri tidak kalau di masa depan seluruh duni krisis kepercayaan karena ai menguasai dunia. makin susah dibedakan mana proyeksi mana kenyataan.",0,0,0,0
"yang aku pertanyakan muka ni cewe² itu ada tidak ya di dunia nyata gitu",0,0,0,0
عُمْدَةُ السَّالِكِ وَ عُدَّةُ النَّاسَكِ,0,0,0,0
"hahahahahahahhahhaha ",0,0,0,0
"komputerku tidak mampu membuat animasi asap,air,debu,api dll ( komputer versi low )",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja. support-nya oke,ada panduan lengkap di websitenya.",0,1,5,0
"output-nya kurang akurat buat kebutuhan profesional.",0,0,0,0
"mantap,lanjut bang",0,0,0,0
"jadi pngen nyari podkova",0,0,0,0
"saya udah coba,tapi hasilnya ko tidak ada suaranya ya? wkwk",0,0,0,0
"gw jelek ya?",0,0,0,0
"jari-jari kelihatan jadi masalah. sering disembunyiin atau diposein aneh",0,0,0,0
"fakta akhir zaman.. (semua ini sudah ada kisi-kisinya)",0,0,0,0
"ok sama semoga bermanfaat ",2,0,0,0
"coba digabungin kedua prompt nya dari awal",0,0,0,0
"google telah memepelajari kejadian nyata dari dulu dari semua unggahan di medsos termasuk komentar ini",0,0,0,0
"lemon slicenya,pas awal masukin email disitusnya tidak dapat kredit 25. cara dapatnya gimana ya",0,0,0,0
"belum bang,karena di video tidak ada dihidupkan .. jadi mesti dijalankan dengan cara ??",0,0,0,0
muncul notif merah,0,0,0,0
"memang tidak ada suaranya. tidak usah tanya lagi",0,0,0,0
"buat karakter manusia bang​",0,0,0,0
"tidak peduli orang bilang apa,saya tetep nyaman pake ini.",5,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk. no debat",0,0,0,0
"sumpah gakeliatan",0,0,0,0
"bisa coba langsung kak bikin api key sendiri",0,0,0,0
"audio background musiknya gitu maksutmu?",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja. tidak peduli orang bilang apa,saya tetep nyaman pake ini. parah sih",0,0,1,0
"menarik,ai ngira dia bakal bereaksi negatif. jadi begini ya cara ai ngeliat perempuan? ",0,0,0,0
"langsung keinget novel mada",0,0,0,0
"laptop spek rendah tetep bisa akses lewat cloud,mantap. simpel dan elegan,navigasinya enak dipandang.",0,0,5,2
"kok aku gaada suaranya mas?",0,0,0,0
"buatkan prompt untuk veo 3 seseorang wanita cantik dengan background patung habibi dengan seolah ngevlog selfie sambil berbicara tahede ngana ayi piliki,kinapa te lanang ngana beken jadi ba cina dengan sedikit marah",0,0,0,0
"temen-temen kantor udah pada pake,masa saya nggak. wkwk",0,0,0,0
"kita tidak bisa mencegah berkembangnya teknologi guys jadi apa yang harus kita lakukan? yaa kita harus bijak memanfaatkannya. didik jg anak cucu kita agar tidak tertipu mana original mana ai",0,0,0,0
"veo 3 apa bisa pakai wajah sendiri dan pakaian sendiri bro ?",0,0,0,0
"wajah aslinya ada gasih? atau emng ini dibuat²",0,0,0,0
"terimakasih kak,silahkan dieksplor lebih lanjut kak",0,0,0,0
"maaf nih buat saya yang tidak punya modal ini gmna tidak bg??apakah ada situs atau web,yg beneran gratis?",0,0,0,0
"kenapa tidak ada suara bang",0,0,0,0
"ini sih paling ngerii",0,0,5,0
"ketawanyaa",0,0,0,0
"dan yapp,kitaa semakin dekat",0,0,0,0
"wuiih...makasih mas..sangat membantu..semoga selalu di beri keberkahan..amiin.",0,0,5,0
"seraammm,siap siap industri creative (agency),udah kalah nih sama ai buat bikin iklan ",0,0,0,0
"aktingnya udah sebagus aktor/aktris top tier belum? selain alur cerita",0,0,0,0
"anjir",0,0,0,0
"ikuti aj alurnya",0,0,0,0
"api key cloudskillboost nya yang ngga bisa bang. udah diblock.",0,0,0,0
"dosen saya nyaranin pake ini buat riset. tools ini ngebantu banget buat nyelesain tugas kuliah.",0,0,0,0
"kalau wajah dari video ingin menggunakan wajah kita gmn itu kak ?",0,0,0,0
"akun langsung suspen dah tidak bisa",0,0,0,0
"8 detik",0,0,0,0
"wkwk",0,0,0,0
"saya cuma sampe 8 detik doang,gak lebih",0,0,0,0
"si abg nya salah ngomg,ngomong 2kli",0,0,0,0
"siap bang ​ ",0,0,0,0
"saya hasilnya tidak ada suaranya sama aja kayak veo 2 ? padahal vpn aktif server usa,dan sudah veo 3 juga namun setelah generate tidak keluar suara,mohon pencerahannya",0,0,0,0
"bagusss kakk. tapi pas dikunci,malah tidak bisa generate. jadi terpaksa saya buka kuncinya,alhasil ada yang tidak sama (warna bajunya).",0,0,0,0
"keren bang,auto jadi subsciber ",0,0,0,0
"ngeriii,tapi takut di katain ketinggalan zaman",0,0,0,0
"seneng liat ai dibikin kayak gini lebih guna,gak cuma buat becandaan aja ",0,0,5,0
"liat aja setahun lagi gimana perkembangannya nanti",0,0,0,0
"ini sihh luar biasa mantap banget. sangat bermanfaat",2,0,5,0
"sya coba sudh tidak ada percobaan selama 1 bulan lagi bang",0,0,0,0
"subhanallah sungguh beruntung sekali saya menemukan konten seperti ini. sehat selalu mas",0,0,0,0
"hasil generate-nya oke punya,bikin kerjaan sat set. user friendly parah,pemula pasti langsung paham.",0,4,0,0
"temen-temen kantor udah pada pake,masa saya nggak. ngebantu cari ide konten pas lagi mampet. anjir",0,0,0,0
"tonton video veo3 yang ke 2 bang. ada opsi veo2 nya",0,0,0,0
"pro in dl mas",0,0,0,0
"matane",0,0,0,0
"upgrade dl ke pro bg",0,0,0,0
"bisa diisi sesuai dengan yang diinginkan kak",0,0,0,0
"ribet bener interfacenya,bingung mau klik mana. mending skip",0,0,0,0
"cek aja langsung gan....",0,0,0,0
"update masih bisa,tapi kenapa suaranya tidak ada ya",0,0,0,0
"ini mah bukan ai",0,0,0,0
"halo bang,boleh minta tutorial dan prompt-nya tidak yaa?",0,0,0,0
"a.i terlalu realistis ",0,0,0,0
"tanks. bro",0,0,0,0
link prompt generator:,0,0,0,0
"gemini api eror kenapa ya bg",0,0,0,0
"next ke jaman tirex ka",0,0,0,0
"bang,deskrips videonya nya kenapa jadi english ya ? jadi pas mau copy prompt untuk bikin appnya dalam bahasa english.",0,0,0,0
"yang kedua bisa belibet ya",0,0,0,0
"takut ya nanti bisa jadi fitnah",0,0,1,0
"mas gw guna utk berita bisa gk? credit to you",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja. banyak influencer yang bahas,jadi penasaran.",0,0,5,0
"cara biar bahasa indo gimana bang orang yang mgucapin ai nya",0,0,0,0
"gilaaaa dah,bakal bingung beda ori",0,0,0,0
"siap terima kasih gan",0,0,0,0
"ini delapan detik kak?",0,0,0,0
"ada cara biar bikin videonya tidak limit tidak kak? baru buat beberapa udah limit sampai tanggal 6 juni baru bisa buat lagi",0,0,0,0
"",0,0,0,0
"siapa sih yang nyiptaiin ai ini plis",0,0,0,0
"satu kata!!! keren!!",0,0,5,0
"khas banget belakang nya pasti blur gitu",0,0,0,0
"yang disalin text bahasa inggris tapi video nya menggunakan bahasa indonesia ya.. itu bagaimana kak.. tks",0,0,0,0
"",0,0,0,0
"keren promntnya konsinten",0,0,3,0
"terima kasih ilmu nya semoga bermanfaat untuk semuanya dan jdi amal jariyah buat abangnya.",2,0,0,0
"terima kasih mas sudah banyak memberi pelajaran... semoga mas di mudahkan segala urusannya..",0,0,0,0
"laptop spek rendah tetep bisa akses lewat cloud,mantap. anjir",0,0,0,2
"luar biasa,terima kasih sudah berbagi pengetahuan,terus berkarya kak",0,0,5,0
"ngeri\ nyoy",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. anjir",0,0,0,0
"hasil generate-nya oke punya,bikin kerjaan sat set. anjir",0,0,0,0
"tidak guna,malah bikin kerjaan makin numpuk.",0,0,0,0
"ai ini selalu dengan warm tone nya",0,0,5,0
"woah.... mauuuuuuuuuuuu",0,0,0,0
"kok yang gw tidak ada suara nya ya bang?",0,0,3,0
"ngeri banget disalah gunakan",0,0,2,0
"respect bang sama kamu .... nice pokoknya kontenyaaaa",0,0,0,0
"ai anj",0,0,0,0
"ai tidak sih",0,0,0,0
"bagi prompt bang",0,0,0,0
"yang takut akan meninggalkan inovasi ini",0,0,5,0
. . .,0,0,0,0
"ai nya udh tidak keliatan\nᵏᵒᵐᵉⁿᵗᵃʳ ᵖᵉʳᵗᵃᵐᵃ",0,0,0,0
"ai ditangan orang waras",0,0,0,0
"aku udah aktifin vpn nya tapi pas buka gemini tidak ada tools videonya! itu bagaimana bang",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. hasil generate-nya oke punya,bikin kerjaan sat set. parah sih",0,0,0,0
"tolongin permasalahannya dimana? lewat web mentok dilayar vpn,penambahan ke chrome tidak aktif,pilihan negara amerika juga tidak ada.gimana mau lanjut???instal aplikasi vpn ternyata untuk penggunaan tidak gratis harus langganan dulu paling sedikit 159 ribu perminggu",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang. no debat",0,0,0,0
"owalah begitu pantes cuma ada gambar doang",0,0,0,0
"wajah\ ai bnyak mirip sama manusia nyata",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. support-nya oke,ada panduan lengkap di websitenya. wkwk",0,1,3,0
"memang proses vidionya berapa lama kalau di hape?",0,0,0,0
"",0,0,0,0
"sayang banget harus pake vpn baru bisa akses. instalasi vpn-nya bikin pusing tujuh keliling. anjir",0,0,0,0
"kebanyakan video ai beginian pasti durasinya 8 detik doang",0,0,0,0
"dosen saya nyaranin pake ini buat riset. output-nya kurang akurat buat kebutuhan profesional. gas terus",0,0,0,0
"pastikan ikuti semua langkahnya dengan benar,aku coba di hp bisa",0,0,0,0
"wah bahaya juga ya",0,0,0,0
"sorry,i haven’t really focused on learning about api yet,so i can’t give the right answer for now ",0,0,0,0
"takut banget",0,0,0,0
"muka itu dimana ya ai dapat ?",0,0,0,0
"mas,durasi maksimal emang cuma 8 detik ya?",0,0,0,0
"pakaiannya kek org bali banget",0,0,0,0
"viral di tiktok mangkanya nyobain,ternyata emang keren. koneksi internet harus stabil biar tidak gagal terus. wkwk",0,0,5,0
"buatin ai mulyono lagi bawa ijasah palsu bang",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang. hp kentang saya tidak kuat jalanin aplikasi ini.",0,0,0,0
"pake android donk bingung gw harus beli komputer",0,0,0,0
"capek-capek si ethan hunt nyelametin bumi dari ai entity",0,0,0,0
"bg di gw kok tidak ada suaranya ya",0,0,0,0
"ini bayar bang?",0,0,0,0
"era fitnah berbahaya",0,0,0,0
"klo untuk tanpa batas blm ad bg,yg ultra pun ad batasnya,klo ak sih pake beberapa email aja,kadang ganti vpn jg bisa,tp kadang jg tidak bisa",0,0,0,0
"aku punya idee,oke ckep ai ny",0,0,0,0
"��",0,0,0,0
"tikus2 berdasi : anggaraannnnnn",0,0,0,0
"bang punya ku kok tidak kluar suaranya ya",0,0,0,0
"aku punya ide tapi bukan tidak mungkin di masa depan udah tidak pake pemain lagi tapi pake ai. penasaran sama hasilnya ytta",0,0,0,0
"bisa pake wajah sendiri bg?",0,0,0,0
"bang punya saya tidak ada suaranya,tolong dijawab dong",0,0,0,0
"terimakasih kembali kak,silahkan dieksplor lebih lanjut kak",0,0,0,0
"tetap keliatan si kalo yang main logika,cewe pertama jalan ke tengah,cowo yang kedua ngegoreng dipanci kanan dan yang diambil malah panci kiri ",0,0,0,0
"awal kehancuran dunia",0,0,0,0
"sama2",0,0,0,0
"sama2 kak",0,0,0,0
"udah nga bisa yah?",0,0,0,0
"ai",0,0,0,0
"user friendly parah,pemula pasti langsung paham. gas terus",0,4,5,0
"mantap ih",0,0,5,0
"temen-temen kantor udah pada pake,masa saya nggak. ngebantu cari ide konten pas lagi mampet.",0,0,0,0
"dosen saya nyaranin pake ini buat riset. mending skip",0,0,0,0
"pakai veo 3 kan kak?",0,0,0,0
wow...ini penghargaan yang luar biasa buat saya yakni doa yang tulus dari audiens saya....,0,0,0,0
"di playstore saya tidak opsi lainnya bang?",0,0,0,0
"��",0,0,0,0
"suaranya gada ya",0,0,0,0
"kalo misalnya untuk bikin video affiliate produk tertentu bisa kakh ini bang?... kalo bisa udah adakah tutorialnya ?",0,0,0,0
"generate pake foto kota sendiri bisa ga",0,0,0,0
"mas kalau dari image ke video apa sudah bisa di gen 3",0,0,0,0
"liat aja tangan yang ngomong",0,0,0,0
"coba ke lmarena bang",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja.",0,0,5,0
"anjayy bayr class sgtu mahalny.mkany kalian² bruntng bngt chanel bk lewt dpan brndamu..,kawan kita ini sllu brbagi.psti rjki ny dtg dr arah mn aja.krna bnyk org yang sdh mndoakn utkny.ketika ada org nontn ini,kmdudian pnontn sneng bngt.lgsg dah respec smga yang pny cahnel ini dbrikn kshtn,didaptkn rjki dr arah mna aja.lagnsung doa doa dr smua org bterbangan..dan malaikat lgsung mulai catet doa ny satu pr satu.dstu lh rjki ny kawan kita mulai brdtangan.amin",0,0,0,0
"kamu tersedak karena alat kelamin,jancok",0,0,0,0
".1 kak aku sudan coba tapi kok tidak nemu nemu ya :(help kak huhu",0,0,0,0
saya coba buat jadinya beda beda karaternya,0,0,0,0
"masi keliatan banget ai-nya",0,0,0,0
"laptop spek rendah tetep bisa akses lewat cloud,mantap.",0,0,0,2
"tutor dong supaya dapet trialnya",0,0,0,0
"auto subbrekk akuhh",0,0,0,0
"bikin dari hp tidak bisa ya bang",0,0,0,0
"prom prom prom",0,0,0,0
"ini lucu",0,0,0,0
"ngebantu cari ide konten pas lagi mampet.",0,0,0,0
"hp kentang saya tidak kuat jalanin aplikasi ini. tidak peduli orang bilang apa,saya tetep nyaman pake ini. asli",0,0,0,0
"nah kek gini kan nambah ilmu",0,0,0,0
"sibuk nya org” di blkang real banget jir di ulang” pdhal",0,0,0,0
"belum",0,0,0,0
"lagi ngetes,berhasil,tapi videonya tidak ada suaranya",0,0,0,0
"koneksi internet harus stabil biar tidak gagal terus.",0,0,0,0
"dari mana ai generate wajah indo...kayak kenal",0,0,0,0
"dan video yang ke 2 tidak ada suaranya gimana solusinya bang",0,0,0,0
"kl invalid,bikin ulang dari awal lagi aja kak",0,0,0,0
"kita kerja kita ngobrol,bukan cuma tiktok",0,0,0,0
"kena limit generate videonya,gmn ya",0,0,0,0
"laptop spek rendah tetep bisa akses lewat cloud,mantap.",0,0,0,2
"ribet bener interfacenya,bingung mau klik mana. asli",0,0,0,0
"buat jangka pendek tidak akan tapi beberapa tahun ke depan dengan semakin berkembangnya teknologi kemungkinan besar bisa tergantikan",0,0,0,0
"takutt,ga boong",0,0,0,0
"batas buat vidio nya hanya 8 detik kah bang?",0,0,0,0
"waktunya singkat banget cuma 8 detik",0,0,0,0
"background nya tetep tidak masuk akal",0,0,0,0
"terimakasih kembali kak ",0,0,0,0
"keren banget bang ilmu anda,saya kagum banget",0,0,5,0
"sayang banget harus pake vpn baru bisa akses. rekomendasi dari komunitas ai ini emang tidak pernah gagal. boleh lah",0,0,0,0
"ai nya bikin bentuk monasnya salah tidak sama dengan bentuk aslinya ",0,0,0,0
"di buat perintah lg agar dia susun kalimat hasil prompt nya lebih bai",0,0,0,0
"viral di tiktok mangkanya nyobain,ternyata emang keren.",0,0,5,0
"sama2 kak",0,0,0,0
"​ ngeri bener channe baru 1 bulan dh 500k subs ajir",0,0,0,0
sudah liat tutor jg.,0,0,0,0
"dosen saya nyaranin pake ini buat riset. ngebantu cari ide konten pas lagi mampet. asli",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang.",0,0,0,0
"barakallah ka nalarka tutor bikin karakter/tokoh konsisten untuk video panjang..",0,0,0,0
"wow....luar biasa sekali pengetahuanya,saya aja yang bikin tutor ini lom bsa bikin tool sendiri hehe....",0,0,0,0
"tapi itu yang ditulis diexel ya bang ...ga keliatan . terimakasih ",0,0,0,0
"kenapa saya masih veo 2 padahal sudah langganan dan pakai vpn,knp y?",0,0,0,0
"pertanyaan itu dapat referensi muka siapa dan lokasi nya referensi dari mana . nanti ai update suara dan kualitas vidio di bagus in makin tidak bisa di tebak wkwk",0,0,0,0
"pake hp video tidak ada suaranya",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu. laptop spek rendah tetep bisa akses lewat cloud,mantap.",0,0,0,2
"playon 1 tahun lagi aja\ndie para animator",0,0,0,0
"perintah",0,0,0,0
"di gemini saya tidak ada buat video gimana tuh ...",0,0,0,0
"prompt nya udah,nasi goreng nya mana ",0,0,0,0
"sehat selalu ya om,terima kasih banyak ilmu nya,semoga sukses terus di setiap langkah nya dan konten nya semakin berkembang....",0,0,0,0
"makasih bang... ilmu mahal ini...",0,0,0,0
"di google play store gua ko tidak ada pembayaran lain nya jadi tidak bisa",0,0,0,0
"gue vpn nya kok kudu bayar ya bang t_t",0,0,0,0
"rekomendasi dari komunitas ai ini emang tidak pernah gagal. simpel dan elegan,navigasinya enak dipandang.",0,0,5,0
"batasnya cuman 8 detik bang? bisa lebih nggak?",0,0,0,0
"instalasi vpn-nya bikin pusing tujuh keliling. anjir",0,0,0,0
"@bell⋆˚࿔ ",0,0,0,0
"0:32 baru juga mulai udah ada aja celahnya",0,0,0,0
"untuk saat ini masih bisa kah?",0,0,0,0
"sebenernya org2 yang d buat ai ini ad di dunia nyata tidak sih?",0,0,0,0
"cara bikinnya gimana bang? punya ide nih",0,0,0,0
"viral di tiktok mangkanya nyobain,ternyata emang keren. gokil",0,0,5,0
"lewat hp gada suaranya ",0,0,0,0
"bisa dong kak,pakai saja browser di hp,oh iya vpn aktifkan di browser jangan lupa ya",0,0,0,0
"tidak bisa ngomong bos",0,0,0,0
"simpel dan elegan,navigasinya enak dipandang. viral di tiktok mangkanya nyobain,ternyata emang keren. no debat",0,0,5,0
"makin kesini makin ngeri ya teknologi",0,0,0,0
"mantap keren ini ",0,0,5,0
"sehari bisa bikin berapa video bang? saya pake yang gratis 15 bulan. 1 hari ini saya bikin 10 video,malah ada notif gini anda telah mencapai batas pembuatan video sampai 31 mei,14.34 emang 1 bulan cuma 10 videa ya?",0,0,0,0
"gilaa gw liat ny",0,0,0,0
"ngerinya kalo foto org penting dijadiin buat promosi judol",0,0,0,0
"sangat efektif untuk meningkatkan produktivitas kerja.",0,0,5,0
"mungkin admin ini ai? ",0,0,0,0
"buat gini pakai ai apa? chatgpt?",0,0,0,0
coba ikuti tutorial yang ini aja bang,0,0,0,0
"bang mau nanya 1 lagi,udah ada cara ganti akun google play store untuk metode pembayaran tidak bg? soalnya kan kalo udah pake trial pake akun google play store pertama selanjut nya udah tidak bisa lagi pake akun google play store sebelumnya untuk dapat trial gratis lagi. paham kan bg maksus gue?hehe. mohon dijawab bg kalo ada caranya",0,0,0,0
"kunci prom ny gimana bro supaya bisa bikin adegan nge vlog gini?",0,0,0,0
"nanti artis2 nasibnya gimana",0,0,0,0
"bang gw udh ikutin semau tapi teks masih berantakan",0,0,0,0
"rilll ini rilll ketawa nya aja udh tidak ikhlas ",0,0,0,0
"2-3 tahun lagi mulai berkurangnya talent iklan ini ",0,0,0,0
"tidak peduli orang bilang apa,saya tetep nyaman pake ini. sayang banget harus pake vpn baru bisa akses.",0,0,0,0
"tapi kayak masih keliatan kalo itu ai",0,0,0,0
"imajinasi gw belum terlalu op untuk buat prompt yang proper",0,0,0,0
"kerenn",0,0,0,0
"iya om udh tidak bisa skrg",0,0,0,0
"menu-menunya membingungkan,banyak iklan ganggu.",0,0,0,0
"tapi vibesnya kek tidak ada nyawanya samsek njir",0,0,0,0
"pakai elevenlabs bang. suara saya jelek wkwkwk. nanti sy buat tutorial trik elevenlabs ya :)",0,0,0,0
"kendaraan nya jakarta,gedung gedung nya gedung singapur",0,0,0,0
"veo",0,0,0,0
"terimakasih kak,jangan lupa aktifkan vpn us ya kak,karene veo3 belum available di indonesia,kalau tidak diaktifkan mesin yang akan bekerja adalah veo 2 yang tanpa suara kak",0,0,0,0
"hp kentang saya tidak kuat jalanin aplikasi ini. instalasi vpn-nya bikin pusing tujuh keliling. asli",0,0,0,0
"��",0,0,0,0
"buat konten yt pakai ai gini bisa monet dpt cuan gaji yt tidak yak",0,0,0,0
"buatkan promt untuk google veo 3 seorang peria mandi di lava banyak orang mandi lava dengan seolah ngenvlog selfie sambil berbicara guys,aku lagi ada di kolam renang lava tapi ini cuman ai atau di raputi ya aja",0,0,0,0
"chanel tidak pelit iilmu sangat membantu pemula,terima kasih telah berbagi ",0,0,5,0
"grup premium vip nexabot pro premium diskusi - sora 2,veo 3.1,nexagen / tiktok video,sharing trick",0,0,0,0
"tetep tidak bisa dong. tatapannya aja kosong begitu ",0,0,0,0
"bang,punyaku kok malah jadi bahasa inggris ya?",0,0,0,0
"itu bisa dicostum pake muka sendiri tidak bang",0,0,0,0
thx bang.,0,0,0,0
"liat aja gerak matanya",0,0,0,0
"hasil bahasanya blm jadi bahasa indonesia..gimana caranya ya",0,0,0,0
"tidak hidup begitu gambarnya",0,0,0,0
"user friendly parah,pemula pasti langsung paham.",0,4,0,0
"gampang bedain nya",0,0,0,0
"sangat aman",0,0,0,0
"sering error emank,solusi unduh gambar dan generate di generator video lainya,",0,0,0,0
"",0,0,0,0
"dibuat pake hp apa pc bang?",0,0,0,0
"tidak peduli orang bilang apa,saya tetep nyaman pake ini. mending skip",0,0,0,0
"",0,0,0,0
"wow mksih banyak ya bang.. udahh kasih tutorialnya,,oh iya maaf ya bang boleh tau kenapa ya saya punya tidak muncul kolom bahasa inggris nya bang.",0,0,0,0
"jual apknya tidak bang",0,0,0,0
"mauuu jugaa dibuatin promosi",0,0,0,0
"sepemikiran ",0,0,0,0
"grafik game,autofokus over,dah jelas ai ",0,0,0,0
"berbayar tidak bang",0,0,0,0
"sama",0,0,0,0
"ini ai",0,0,0,0
"masih keliatan,kcuali ibu² khas fb yang liat mngkin prcaya",0,0,0,0
"coba buat versi kerjaan kutai kak",0,0,0,0
"hmmm video ai",0,0,0,0
"dosen saya nyaranin pake ini buat riset. tidak guna,malah bikin kerjaan makin numpuk. anjir",0,0,0,0
"udah coba,tapi tidak ada suaranya",0,0,0,0
"wah keren kamu ka,isi nya bener bener tutorial. semoga konsisten ya ka,sangat membantu.",0,0,5,0
"@ kereennn",0,0,0,0
"luar biasa ilmunya,saya masih pemula oprek di dunia ai,dapat ilmu dari channel ini seperti nemu harta karun,semoga sehat seluruh dan berkah semua ilmunya ",0,0,5,0
"simpel dan elegan,navigasinya enak dipandang.",0,0,0,0
"",0,0,0,0
"hasil generate-nya oke punya,bikin kerjaan sat set. rekomendasi dari komunitas ai ini emang tidak pernah gagal.",0,0,0,0
"muka2 world coin yang daftar kmren2 be like ",0,0,0,0
"kok tidak muncul suara nya ya aku bikin berhasil video ny tapi suara nya gada",0,0,0,0
"kok mirip kya yang bikin candaan di neraka ya",0,0,0,0
"ai kaya rill",0,0,0,0
