comment,sentiment,PE,EE,SI,FC
yakin ?,neutral,0,0,0,0
pake vpn brow,neutral,0,1,0,1
sekarang jaman tambah canggih,positive,0,1,1,1
buat yang panu dan kudis kelihatan dong,neutral,0,0,1,0
"udah nyoba,suaranya tidak keluar bang,padahal videonya udah keren :(",negative,1,0,1,1
di gemini aku gada video,negative,0,1,1,0
kok punya q tidak ada suaranya bang,negative,0,0,1,1
kalau penggabungan foto kita gimana bang caranya,neutral,0,1,0,0
halo kak.. kak punya saya kok tidak ada suara ya..? veo 2,negative,0,0,1,1
kok di aku audionya tidak ada sih bang,negative,0,1,1,0
bang gw bikin tapi malas muncul teks bukan suara,negative,0,1,0,0
agar durasi videonya lebih dari 8 detik gimana,neutral,1,0,0,0
"cuma bisa di pakai 5x dalam sehari,bener tidak sih???",neutral,0,1,1,0
ko punya saya bahasanya jadi inggris terus,negative,0,1,1,0
ko punya saya tidak ada suaranya bang,negative,1,1,1,0
kalau buat utk style pixar bisa jg tidak ya? hasilnya gmna,neutral,0,1,0,0
ribet mas,negative,0,1,0,0
bang kalo misal orangnya pake saya sendiri gimana bang,neutral,1,1,0,0
cara dwonload hasilnya gmn?kok pnyku tidak bs didwonload?,neutral,0,1,1,0
"bang,saya sdah ikuti tutorial abang,tapi video yang dihasilkan tidak ada suaranya",negative,1,0,0,0
gua udah subs,neutral,0,1,0,0
bang itu klo pke satu imel gratis 1 bulan berarti klo mau gratis nambah imel yah,neutral,1,0,1,0
cuma 8 detik,neutral,0,0,0,1
video google veo 3 nya 1 hari cuma 1 video aja bang selanjut sisa nya veo 2 dan 1 hari cuma 5 video aja nya,neutral,1,0,0,0
"nah pertanyaan yang sama,apakah perlu edit tambah audio lagi? atau gimana? soalnya di video si abangnya langsung ada suara bicara nya",neutral,1,1,1,0
kok aku punya bahasa inggris si pas ngomongnya,negative,0,1,1,0
punya saya kok tidak mau muncul menu videonya ya,negative,0,1,1,0
punyaku kok tidak pake bahasa indonesia ya ngomongnya,negative,0,1,1,0
bang cara biar video berbahasa indonesia gimana ?,neutral,0,1,0,0
kiamat digital,negative,0,1,0,1
udh d coba tapi ko hasil nya vidio 0 detik ya,negative,1,1,1,0
bang ko aku bahasa inggris mulu,negative,0,1,1,0
semoga kedepannya bisa 1 menit. imajinasi saya sudah harus difilmkan secepatnya wkwk,positive,1,0,0,1
sehat selalu bang masyawii,positive,1,0,1,0
dari dulu gw sering liat bang masyawii kalo tentang a.i,neutral,1,1,1,1
"tolong bantuannya,saya sudah coba pke gemini,video nya jadi tapi tidak ada suara,,itu bikin video ada suaranya dri gemini juga atau pke ai lain?",negative,0,0,0,0
"jangan jangan,mas mas ini juga ai veo 4",neutral,0,0,0,0
bang di gemini saya ko tidak muncul opsi videonya ya? padahal uda pasang vpn dan sama banget kaya video,neutral,0,0,1,1
bang mau nanya knp punya aku hasil vidio veo3 nya tidak ada suaranya,negative,1,0,1,0
bisa pakek hp android tidak bang,neutral,0,1,0,1
"bang mau nanya,kenapa gamau keluar suara ya di video yang aku buat?",negative,0,0,1,0
kok saya punya ngga ada suaranya?,negative,0,1,1,0
kok saya punya ngga ada suaranya?,negative,0,1,1,0
tapi kan hrs byr di awal bang?,neutral,0,1,0,0
"udah bikin dan udh menjelajahi,tp sayang banget cuma max 8 detik dan tidak bisa disambungin jadi cerita layaknya di chat gpt gitu,kita masukkin promptnya lg pun hasilnya beda",negative,0,1,0,0
bang ko gw bahasa inggris mulu ngomong nya,negative,0,1,1,0
wkwkwkwk,neutral,0,1,1,1
"kayaknya emang udah bisa 1menit bahkan 1jam,tapi emang ditahan dulu,kalau dikeluarin sekarang takutnya kedepannya udah g ada perkembangan lagi,alhasil dapet duit pun berpengaruh",positive,1,0,0,0
"kemungkinan vpn belum diaktifkan,pengalaman kemarin lupa aktifkan vpn suara tidak muncul.",negative,1,1,1,1
up,neutral,0,1,1,0
up,neutral,0,1,1,0
samaa,neutral,0,1,0,1
sama,neutral,0,1,1,1
nah sama ini gmna,neutral,0,1,0,0
kalo bisa di gabungin ntar abng bisa bikin film sendiri tanpa capek² buat syuting hehe,neutral,1,0,0,0
"​ ya setiap generate cuma 8 detik buat apa,iya kalau bisa digabungin / lanjutin secara konsisten,itu g bisa,jd untuk saat ini veo 3 belum lah",neutral,1,1,0,0
"ya kalo sekarang emang baru bisa gini,tapi liat 5 tahunan lagi bakal sebagus apa hasilnya",positive,1,0,0,1
kok aku buat hasilnya ngomong tapi pakai bahasa inggris yak?,negative,0,1,0,0
"​ ditambahin kata belakangnya,jadi misal gini",neutral,0,1,0,0
"untuk promptnya bahasa inggris,tetapi kata yang diucapkan bahasa indonesia",negative,0,1,0,0
"cotoh di chat gpt : a 3d animated scene featuring bang zuma,a strong,wise male character wearing a black mask and urban-style clothes,standing in a calm setting such as a church courtyard or under a tree. he is engaged in a respectful interfaith dialogue with a christian priest. bang zuma speaks firmly but politely in bahasa indonesia: hai pendeta! dalam keyakinan saya,tuhan adalah pencipta langit dan bumi,bukan manusia. the background shows a peaceful setting with sunlight filtering through trees,birds chirping,and a respectful atmosphere of dialogue,not conflict.",negative,1,1,1,0
tambahin berbicara dalam bahasa indonesia bang,neutral,1,0,1,0
"punya saya malah udah abis limitnya,reset bulan depan,ternyata cuma bisa 5 video aja",neutral,1,0,0,1
punya gua cape cape bikin gada suaranya kesel banget kenapa ya​,negative,0,0,1,0
tidak bayar kn​,neutral,0,1,0,0
"tadi aku liat di chanel nya siapa ya lupa,itu bisa bang prompt nya cuma diganti dikit gitu.. yang diganti cuma aksi dari si subjek,misal aksi dari prompt pertama “sedang naik motor”.. trus kalau bikin kelanjutannya dengan hasil dan subjeknya yang sama. tinggal diedit prompt nya yang bagian “sedang naik motor” itu diganti dengan misal “jatuh dari motor”",neutral,0,0,0,0
"​ gua juga tau kali,ttp ja beda",neutral,0,1,1,0
sama bang cuma 8 detik doang,neutral,0,0,1,1
kok saya cuma vo 2 ajah padahal udah upgrade bang tpi pake hp bukan laptop ? apa haris pake laptop yah,neutral,0,0,0,1
"​ saya hp juga bsa,pake vpn dku,trus relog ke googlenya",neutral,0,0,1,1
​ ngeri bener channe baru 1 bulan dh 500k subs ajir,negative,0,1,1,0
punya saya jadi tapi kenapa audionya tidak muncul ya???,negative,0,1,0,1
​ mungkin anda belum aktivkan vpn,neutral,0,0,0,1
"ini hanya masalah waktu bang,nanti semakin dibangun server dari lebih besar maka layanannya akan makin mantab",positive,1,0,1,1
"ya wajar bro,ai itu umurnya masih seumuran jagung,perlu pengembangan dan akan terus dikembangkan,2-5 tahun kedepan pasti akan lebih wah lagi,sprti halnya android dr mulai 1.0 sampai sekarang sudah ke versi brp?",positive,0,0,0,1
"bang,knpa ug punya gw audiony kagak ad ya,cuma vdeo aj,,,",negative,1,0,0,1
​ promptnya yang lu buat kurang maksimal / kurang jelas,negative,0,1,1,1
maaf bang mau tanya (nada sopan) yt abang uda monet belum ya,neutral,1,1,1,0
"kalo mau durasi panjang 1jam atau lebih,ya anda buat sendiri jgn berharap sama google",neutral,1,1,0,0
"suaranya tidak ada,gimana cara nya ya?",negative,0,1,1,0
tunggu aja beberapa bulan atau beberapa tahun makin lebih canggih lagi tu,neutral,0,0,0,1
lewat hp android bisa??,neutral,0,1,0,1
cuma kok tidak ada suara nya ya mas,negative,0,1,1,0
"mas,di gemini saya tidak ada kolom video nya.. cuma ada canvas sama deep itu,gimana ya?",neutral,0,1,1,0
punya saya kok muter muter ya,neutral,0,1,1,0
pc atau leptop apa minimal yang bisa jalanin googlevoe3 ini bro,neutral,1,0,0,1
"hahaaha cuman 8 detik doang. dan itu trial kenapa? di bulan agustus akan ditagih dan kalau lupa cancel pembayaran kena charge cc nya. lagian nanti sudah ada veo 3 pro dan dikasi credit. ingat bro,ini bisnis jangan tertipu. bayanin kalau bikin video 10 menit.",neutral,1,1,0,0
ini yang punya chenel ai apa real ya jadi ragu asli atau pulsa tuh,neutral,0,1,0,0
"tidak ada suara videonya pak,gimana ini ?",negative,0,1,1,0
"cuma diblimit ya om beberapa video saja bikinnya,ga unlimited ng generate nyaa",neutral,1,1,1,0
"udah download pvn,tapi kenapa gemini nya kagak ada ikon/tombol videonya bg. itu gimana. mohon dong pencerahannya",neutral,0,1,1,1
"caranya:tinggal tulis di naskah prompt nya,biar skenarionya bagus bisa minta bantuan di chat gpt.....copy paste masukin di prompt nya,,,,,kalau veo 3 belum bisa akses gunakan vpn ya,,,,ketik di google gemini veo 3,daftar,,,,lalu upgrade pro,,,,berbayar,,,,,cuma kalian bisa dapet free trial 30 hari",neutral,0,1,0,1
vpn berbayar ya?,neutral,0,0,1,0
bisa pakai wifi ngga mas?,neutral,0,0,0,1
kok suaranya pakai bahasa inggris ya bangg.. ada solusi biar jadi bahasa indonesia??,negative,0,0,1,0
lewat hp gada suaranya,negative,0,0,1,1
"ini yang pake kacamata juga ai,realsitis sekali kayak beneran bang",positive,0,1,1,0
ai cari face darimana ya apa dari campuran orang atau dari jejak google?,neutral,0,0,1,0
jgn2x yang scan mata biometrik jg nanti buat projek ai jg,neutral,0,0,1,0
cgi di perfilman ngak laku lagi,negative,0,0,0,1
maksimal berapa menit bang,neutral,1,1,0,0
vpn nya harus premium dlu ya bang?,neutral,0,0,1,0
"udah upgrade ke pro bang? klo udah tapi blm muncul opsi videonya,coba restart chromenya. aku jg gitu awalnya ngga muncul opsi video,setelah chrome aku restart,buka google gemini baru muncul opsi videonya. jgn lupa instal dan aktifkan vpn nya bang.",neutral,0,0,0,0
sama​,neutral,0,1,1,1
pro in dl mas,neutral,0,1,1,0
"sudah mencoba,tapi kenapa suaranya tidak muncul ya?",negative,0,0,1,0
di aku tidak ada pembayaran ewalet,neutral,0,0,1,0
"pake email edu bang,bisa trial 15bulan",neutral,0,1,0,1
thanks bang,neutral,0,1,1,0
generate pake foto kota sendiri bisa tidak,neutral,0,1,1,0
yang mau biar drive nya 2tb selama 15 bulan komen ya.. dan udah pasti bisa make gemini veo 3 ini,neutral,0,1,1,1
"gilaaa,ai ini mengubah zaman bukan memajukan,kalian benar² harua belajar ai bukan lebih bersaing dengn ai",positive,1,0,1,0
pake hp bisa tidak bang,neutral,0,1,0,1
bang di laptop saya tidak ada pilihan bayar di ponsel anda gimana solusinya bang,neutral,1,0,0,1
knpa di aku gabisa download vpn nya bg? selalu ada notif lihat panduan,neutral,0,1,1,0
mantap bg,positive,1,0,5,0
ko saya bagian menu video tidak ada ya bang,negative,0,1,1,0
gimna kalau pengen vidionya wajah kita sendri??,neutral,0,1,1,0
"waduh saya ko gabisa langganan gratis knp ya,",neutral,1,0,1,0
"saya coba buat,tapi kok tidak ada suaranya ya ka ? wkwk",negative,0,1,1,0
"udh berhasil,tapi suara video nya tidak ada",negative,0,0,1,1
mantap,positive,0,1,5,0
harus d lptop / pc y,neutral,0,1,0,1
"sayangnya tidak ada fitur image to video di veo 3,cuman ada teks to video,sedangkan di veo 2 ada image to video. sayang banget.",negative,0,0,1,1
di saya kok tidak bbsa ya abng,neutral,0,1,1,0
mau bang,neutral,0,1,0,0
"betul.. gausah ada gengsi2an mah,adapt or die.",neutral,1,1,1,1
tak ai ambik semua data di internet untuk belajar kalau kamu upload apa sahaja di internet berkemungkinan ai akan meniru karya tersebut,negative,0,0,0,0
"zaman dimana kekacauan terjadi dimana orang yang kurang pemahaman sulit membedakan mana yang asli dan mana yang digenerate oleh ai,ketika orang yang tak bertanggung jawab memanfaatkan ai ini utk kepentingan tertentu....",negative,1,0,0,0
ditambah seminggu cuma 10 video lagi hadehhh...,neutral,1,1,0,0
ko hasil generatenya suaranya bahasa inggris bang terus?kenapa ya,negative,0,1,1,0
kok basaha saya inggris ya bang,negative,0,1,1,0
ngeri banget gila,negative,0,1,4,1
saya mencoba tapi kok tidak ada suaranya ya,negative,0,1,1,0
saya gratis 15 bulan pake akun edu...heheheh,neutral,0,1,0,0
bagi promt emak2 bang,neutral,0,1,0,0
pake hp bisa tidak bang?,neutral,0,1,1,1
makin mengerikan. kalau di buat hal negatif semakin susah di bedakan,negative,1,0,1,0
bang ko punya gw suara orang nya tidak muncul yah? masalah nga apa yah?,negative,1,0,1,0
keren sekaligus meeeenaaaakut. kan,positive,1,0,5,0
kok punyaku tidak ada suwaranya,negative,0,0,1,1
"bang,pas gua coba kok pas pembayaran tidak konek langsung ke hp ya ?",neutral,0,0,0,1
suaranya selalu pakai bahasa inggris caranya gimana biar bisa bahasa indonesia,negative,0,0,1,1
gokill thankyouuu,positive,0,1,5,0
"sekarang tidak 0 lagi,bang. 154.500 untuk 2 bulan.",neutral,1,0,0,0
"makasih bang,atas ilmu nya,saya sudah coba",positive,1,1,1,0
bang satu nomer dana bisa buat daftar banyakngak ya?,neutral,0,0,1,0
"orang di videonya pakai foto sendiri sebagai sample bisa gak,bang ?",neutral,0,1,0,0
"cara ganti wajah,atau masukin foto wajah kita bisa ya?",neutral,0,1,0,0
pas habis 1 bulan. lupa batalin. wakakka.,neutral,0,1,0,0
bang kenapa video saya tidak ada suaranya ya,negative,0,0,1,0
"tidak jadi bang,udah bisa wkwk",neutral,0,1,0,1
bisa,neutral,0,1,1,1
tidak bisa,negative,0,1,0,0
bisa aja,neutral,0,1,0,1
mau buat apa lu bro,neutral,1,1,0,0
klo via hp bisa tidak bang?,neutral,0,0,1,0
setelah pikir2 banyak orang yang pake cuma buat fun aja ya.,neutral,1,1,1,0
"keren bang mau bagi bagi ilmu,,gokilll workk,cuma memang gada suaranya aja but overal sangat baguss",positive,1,1,5,1
bang gw pake android ko masoh veo 2 y,neutral,0,1,0,1
kog saya hasilnya tidak ada suara ya?,negative,0,1,1,0
yang saya punya tidak ada video nya,negative,0,1,1,0
"bagus veo 3 gaes..kalau mau yang setahun bikin aja email pelajar ya gaes...gokil unlimited,,bikin prompt di chatgpt aja tapi versi 4 lebih akurat dan detail. selamat ngonten ya gaes...semoga lancar dan berkah..amiim.. tengkyu buat admin masyawi..view nya meledak euy",positive,1,0,4,1
ngeri kali temen angkatan sma ...,negative,0,1,1,1
lu yang ngomong ai bang?,neutral,0,1,1,0
punya saya tidak ada fitur videonya,negative,0,1,1,1
ane bikin. kok tidak ada suaranya bang . mangap2 doang,negative,0,0,1,0
bang kalau merubah aspek rasionya jadi 9:16 gimana?.gak ada pilihannya soalnya,neutral,0,1,0,0
kok aku gaada suaranya mas?,negative,0,1,1,0
sudha dicoba tidak bisa berkali2. pdhl vpnya us,neutral,0,1,1,0
bang punyaku gemini tidak ada fitur vidio.. gimana yaaa,neutral,0,0,1,1
mas di hp saya tidak bisa,neutral,0,0,1,1
tidak ada suaranya.. gmna silusinya bng,negative,1,0,1,0
saya udh nyoba. tapi kok tidak ada suara nya ya?,negative,0,1,1,0
kalau versi bayar durasi max brp lama bg?,neutral,0,1,0,0
"udah ngikutin panduannya,tapi pas klik gemini bagian videonya tidak muncul,apa karena vpn nya ke blok ?",neutral,0,1,0,0
ada yang udah pake buat promosi juga,neutral,0,1,1,0
bikin pake muka sendiri bs ?,neutral,0,1,0,0
email pelajar itu gimana bang,neutral,0,1,1,1
​ email edu mungkin maksudnya. email edu itu email untuk universitas luar. dlu aku sering bikin untuk keperluan website untuk dapetin domain gratis tapi email edu ini tidak permanent kalo buat yang gratisan,neutral,0,1,1,0
info bikin email pelajar bang,neutral,0,1,0,1
jadi pelajar bang ​,neutral,0,1,0,1
"video tetep terbatas,kemarin coba cuma dapet 5 video,abis itu diinfoin harus nunggu hampir 2 minggu kurang buat bisa buat video lagi. padahal udh coba daftar prog pelajar yang katanya free 15 bulan.",neutral,1,1,0,1
coba sora aja murah suma $200. unlimited lebih gila lagi dari veo 3. sora khusus buat ilmuwan,neutral,1,0,1,1
tapi tidak bisa buat bikin rasio 9:16 ya? udh gitu tidak bisa buat lock konsistensi karakter,negative,0,0,1,0
iya kemungkinan besar memang ada batasan di fitur mereka saat ini. kamu bisa coba alternatif lain atau menggunakan software tambahan buat crop atau edit supaya sesuai dengan kebutuhan. maksudnya dr 16:9 atau 4:3 dijaadikan 9:16.,neutral,0,1,0,0
"konsistensi karakter butuh model dengan fitur khusus,seperti pose tracking atau face recognation yang lebih advance.",positive,1,1,1,1
g bsa,neutral,0,1,0,1
ditambahin di prompt nya kak,neutral,0,0,1,0
memang tidak ada suaranya. tidak usah tanya lagi,negative,1,1,1,0
saya sudah pro kok ttp veo 2 ya,neutral,0,1,1,1
saya kok tidak ada pilihan gopay atau opsi lainny,neutral,0,1,0,0
"klo dr vidio nya itu ia jga ya,atau cuma suaranya aja yang ia",negative,1,0,0,0
عُمْدَةُ السَّالِكِ وَ عُدَّةُ النَّاسَكِ,neutral,0,0,0,0
jalan menuju,neutral,0,1,0,1
allah,neutral,0,1,0,1
dan bekal ahli,neutral,1,1,0,1
ibadah,neutral,1,1,1,1
umdatu as-salik wa 'uddatu an-nasik dikarang oleh syaikh ibnu an-naqib. nama lengkapnya syihabuddin abu al-'abbas ahmad bin an-naqib al-mishri as-syafi'i,negative,1,1,0,0
"kitab ini cukup populer di sejumlah lembaga pendidikan islam,bahkan dijadikan sebagai buku pegangan untuk belajar fiqih mazhab syafi'i. kitab ini termasuk mustaqill atau independen,artinya bukan sebagai syarah dari kitab lain,bukan manzhumah kitab lain,bukan mukhtashor kitab lain,bukan taqrirot kitab lain,dan bukan ta'liqah kitab lain. kitab ini ditulis secara independen untuk meringkas mazhab syafi'i sesuai dengan perkembangan fiqih yang terjadi di masa itu.",positive,1,1,1,0
"umdatu as-salik adalah ringkasan fiqih madzhab imam as-syafi'i yang diringkas berdasarkan pendapat yang sahih dalam madzhab menurut ar rafi'i dan an-nawawi atau salah satunya. intinya,jika kita ingin mengetahui pedapat mu'tamad madzhab asy-syafi'i secara kilat dan cepat,maka kitab umdatu as-",neutral,1,1,0,0
salik inilah di antara pilihan referensi yang tepat.,positive,1,1,1,0
wallahu a'lam.,neutral,0,1,0,0
dks,neutral,0,1,0,1
duta karya santri,neutral,1,0,1,0
kediri indonesia,neutral,0,0,0,0
inbox wa 081243902179,neutral,0,1,0,1
atau telpon biasa saja soalnya wa ku ada yang sadap sering error .,neutral,0,0,1,1
bg video gw tidak ada suara nya,negative,0,1,1,0
katanya cara gratis ko tutorial berbayar ini,neutral,0,1,1,0
bang ini bisa pake wajah sendiri?,neutral,0,1,1,0
kok bahasa inggris punya ku,negative,0,1,0,0
cara bikin video pegang produk kita sendiri gimna ya..?,neutral,0,1,1,0
bang maaf boleh tanya aku ikuti tutorial abg aku kok bahsa videonya bahasa ingris ya mesti mengunkan promt ingris atau indonesia mohon pencerahannya,negative,0,0,0,0
kok saya tidak muncul vo3 yang muncul vo2 ?,negative,0,0,1,0
gilaa ngeri banget jaman makin canggih,negative,0,1,2,1
"tetap ae bang upgradenya bayar 300 rebuan,dimana gratisnya",neutral,1,0,1,0
"bang ini jelasin,jangan jangan ai juga ?",neutral,0,1,0,0
"saya coba generate via laptop bang. tapi gagal tidak ada suara nya bang,ada setting yang saya perlu otak atik lagi?",negative,0,1,1,1
tidak bisa lebih dari 8 detik y ?,neutral,0,0,0,0
kenapaa gemini gue gaak aada viddeonya ya,neutral,0,1,1,0
kok menu video nya disaya tidak muncul ya?,negative,0,1,1,0
buat mahasiswa bisa sampai 15 bulan,neutral,1,1,0,1
ini indonesia bukan timur tengah,neutral,1,0,0,0
coba cermati lagi videonya,neutral,0,0,0,0
tambahkan prompt berkata dalam bahasa indonesia,neutral,0,0,0,0
oke bang mkasih ya sudah bisa bang,neutral,1,0,1,0
pastikan langkah nya sesuai tutorial,neutral,0,1,0,0
betul,positive,0,1,1,0
gratis sebulan itu hehe,neutral,0,1,1,0
punya saya keluarnya kode referal dan paypal om tidak ada yang untuk dana dan sejenisnya ini saya buka lewat pc,neutral,1,1,0,1
hayo tebak,neutral,0,1,0,1
masih veo 2 itu,neutral,0,1,1,1
belum,neutral,0,1,0,1
ikuti tutorialnya jangan kelewat,neutral,1,1,1,0
pastikan ikuti semua langkahnya dengan benar,neutral,1,1,0,0
harus di acc akun email kampus,neutral,0,0,0,1
ko tidak ada bacaan video nya bang,negative,0,1,1,0
wih langsung praktek ah nanti,neutral,0,1,0,0
ake hp bisa tidak si?,neutral,0,1,1,1
"belajarlah pake ai,minimal belajar bikin promt pake gemini,copilot,atau lainnya.",neutral,1,1,0,1
realistis banget,positive,0,1,2,0
ok makasih bang,neutral,1,0,1,0
klo pake hape kok tetap veo 2 yang keluar ya?,neutral,0,0,0,1
"bang veo 3 udah tapi tutor pake flow,tutorial cara pake flow ai nya bang udah langganan goggle one tapi flow ai tidak bs kepake.",negative,1,1,0,1
kalau buat wajah sendiri gimana bang,neutral,0,1,0,0
"promt sudah sperti abang,tapi kenapa ai berbicara menggunakan bahasa inggris ya ?",negative,0,0,1,0
bro udah coba yang premium belom ? klo yang pro batasan generatenya terlalu rendah nih,neutral,0,0,1,0
lewat hp tidak bisa bang?,neutral,0,0,1,1
itu biar ngomong bahasa indo gimana ya? saya coba udah tulis dialog bahasa indo tapi jadinya diterjemahkan ke inggris.,negative,0,1,0,0
orang nya random ya kak,neutral,0,1,1,0
tapi elu asli kan bang?,neutral,0,1,0,0
"keren bro,btw tugu monas puncak atas monas nya,masih belum sempurna,lebih mirip tugu pahlawan surabaya",positive,1,0,5,1
angkat aku jadi muridmu bang,neutral,1,0,0,0
cara ubah suara ke indonesia gimna,neutral,0,1,1,0
bg di gw kok tidak ada suaranya ya,negative,0,0,1,0
kenapa ikon video tiada di paparan ku?,neutral,0,0,1,1
pastikan ikuti semua langkahnya dengan benar,neutral,1,1,0,0
semoga tutorialnya bermanfaat ya!,positive,1,0,1,0
bisa,neutral,0,1,1,1
"oh ya bang,kalau untuk durasi nya bisa lebih panjang gak?",neutral,0,0,0,0
"pastikan ikuti semua langkahnya dengan benar,aku coba di hp bisa",neutral,0,1,0,1
masih belum terpecahkan hehe,negative,0,1,0,1
"versi gemini belum bisa,versi yang flow bisa",neutral,0,1,0,1
​ udh ada tidak versi itu?,neutral,0,1,1,0
tambahkan prompt berkata dalam bahasa indonesia,neutral,0,0,0,0
"tetap nih bang aku jga sdah buat,adakah solusi lain?​",neutral,0,0,0,0
pakai email lain,neutral,0,0,0,1
"bisa,udah kucoba",neutral,0,0,0,1
tambahkan prompt berkata dalam bahasa indonesia,neutral,0,0,0,0
betul,positive,0,1,1,0
coba tebak?,neutral,0,1,0,0
"iya,memang masih ada beberapa yang kurang sempurna",negative,0,0,1,1
bukan guru,neutral,0,0,0,1
"pastikan ikuti semua langkahnya dengan benar,mungkin masih veo 2",neutral,1,1,0,0
upgrade dulu google gemininya ke pro. kemudian instal dan aktifin vpn nya.,neutral,0,1,0,1
tutor buat apgrade yang 15 bulan bang pake alamat mahasiswa,neutral,0,1,0,1
"cobain veo 3,generatingnya lama banget,ada solusi kah bang?",neutral,0,1,1,0
tetap aja di limit 2 sampai 3 generate walaupun udh trial pro,neutral,0,1,0,1
saya buat kok enggak ada suaranya ya kak,negative,0,1,0,0
ai semakin menggila,positive,0,1,1,1
monasnya tidak ada cuman om.wkwk,negative,0,1,1,1
"izin tanya bang,kenapa saya bikin selalu bahasanya inggris ya pas bagian ngomongnya.. padahal saya udh buat pake b indo",negative,0,1,0,0
"gua malah jadi bhasa inggris bng,gmana biar indo",negative,0,0,1,1
bang saya udh pake vpn trus ke gemini tapi tombol videonya ko gaada ya,neutral,0,0,1,1
"mas kl belum text pro (berbayar) dikanan atas,videonya memang tidak ada ya? soalnya saya buka gemini fitur videonya tidak ada..hehehe",neutral,0,1,1,0
mas aku dah buat videonya tapi kok tidak ada audio nya ya mas mhon arahan nya mas pemula,negative,0,1,0,0
terimakasih banyak bang,neutral,1,0,1,0
saya kena limit baru bikin 7 video,neutral,0,1,0,0
"bang kenapa ngomongnya engga bahas indonesia bang,malah bahas inggris",negative,0,0,1,0
cuma bisa 5 video,neutral,0,0,0,1
durasi 8 detik perhari (mode pro) sayang sekali padahal sudah berlangganan tapi hanya dapat sedikit kuota pembuatan.,neutral,1,0,0,0
api monas nya menyala mas,negative,1,0,1,0
bang klo kita lupa batalkan di gopay nya gmn?. apa bakal di datengin debt collector?,neutral,0,0,0,0
"udhs berhasil,tapi kenapa tidak ada suaranya ya kak?",negative,0,0,1,0
durasinya cuman dibatas 8 detik ya mas?,neutral,0,0,0,0
kenapa hasil punya saya pakai bahasa inggris ya bang,negative,1,1,1,0
butuh email kampus,neutral,0,0,0,1
pakai banyak email,neutral,0,0,0,1
"pastikan ikuti semua langkahnya dengan benar,mungkin masih veo 2",neutral,1,1,0,0
ya belum sempurna,negative,0,1,1,1
tambahkan prompt berkata dalam bahasa indonesia,neutral,0,0,0,0
tambahkan prompt berkata dalam bahasa indonesia,neutral,0,0,0,0
buat ke premium dlu bang gemini nya,neutral,0,0,1,0
upgrade dulu google gemininya ke pro bang.,neutral,0,1,0,1
sudah ikuti caranya dan memang harus bayar ternyata untuk awal pemakaian pro 171ribu sekian..kl tidak bayar selalu error kalau mengklik lanjutkan,neutral,0,1,0,0
"pastikan ikuti semua langkahnya dengan benar,mungkin masih veo 2",neutral,1,1,0,0
kalo tidak punya saldo bakal tidak ditagih wkwk,neutral,0,1,0,0
sama,neutral,0,1,1,1
sama kak,neutral,0,1,1,1
"bang di metode pembayaran di chrome saya ngga ada menu pembayaran lewat hp,adanya kartu debet/kredit dan nomor rekening bank,tapi coba saya masukkan satu2 gagal semua,solusinya gimana ya?",neutral,0,1,0,1
buatkan watermark menjadi animasi bang,neutral,1,0,1,0
mas mau tanya kenapa setelah jadi vidio selalu berbahasa inggris caranya gimana yah biar berbahasa indonesia?,neutral,0,0,0,0
mas kenapa durasinya pendek banget,negative,0,1,1,0
kalau mau bikin durasi 1 menit atau lebih bisa tidak ya ?,neutral,0,1,0,0
"keren lu bang,thanks udah bagi info nya",positive,0,0,5,1
ai benar2 menakutkan,negative,0,1,1,0
kok saya tidak ada vidionya kak di gemininya,negative,0,1,1,0
cara nambah durasi lebih dr 8 detik gimana?,neutral,0,1,0,0
knapa suaranya tidak keluar ya,negative,0,0,1,1
4:51 itu bukannya ada tulisan veo 2 ya?,neutral,0,0,1,0
punya saya gaada suaranya mas,negative,1,0,0,0
bang videonya tidak bisa mengeluarkan suara,negative,0,0,0,1
pakai hp bisa gak??,neutral,0,1,0,1
klau whisk beda lagi ya?,neutral,0,1,0,0
udah subscribe tapi kenapa cuma sampe veo 2 ya saya?,neutral,0,1,1,0
bang kok gua buat ngga ada audionya ya?,negative,0,0,0,0
"punyaku nggk ada suara bng,kenapa ya?",negative,0,0,1,1
jangan sampai disalah gunakan ya bang,neutral,1,1,0,0
"kak kok punyaku ceweknya orang luar dan tidak keluar suaranya ya,",negative,0,0,0,0
bang kok gw kata2nya berubah jadi bahasa inggris ya bang tidak bahasa indo,negative,0,0,1,0
masalah sy juga sama. udah ketemu solusinya bang?,neutral,0,1,0,0
bisa mau velom​,neutral,0,1,0,1
belum bang,neutral,0,1,0,1
"sama-sama,semoga bermanfaat!",positive,1,0,1,0
"ai itu menakutkan jika disalahgunakan,di masa sekarang ini walau banyak yang tidak suka ai,kita tetap harus mengikuti perkembangan zaman,yaitu ai yang semakin canggih",negative,1,0,1,1
"​ mengikuti gimana,? banyak pekerjaan yang hilang gara² ai",negative,1,0,0,0
lebih tepatnya: user ai bisa benar2 menakutkan,negative,1,1,0,1
ai dajjal ! wkwk,negative,0,1,0,1
ai membuatku jadi manusia super...,positive,1,0,1,1
sudah di kasi ilmu garatis pake di skip lagi kalau nonton.,neutral,1,1,0,0
tonton yang full biar tidak gagal paham.,neutral,1,1,0,0
kuota di gemini itu brp vidio per hari/minggu sih bang?,neutral,0,0,1,0
siapa yang masih berfikir ai itu bukan ancaman.?,negative,0,1,0,0
